"","v1","v2","asso","diss","adja"
"63","Spirochaetaceae1","Holophagaceae","0.156989691261601","0.64923428311296","0.35076571688704"
"64","Spirochaetaceae1","Alicyclobacillaceae","0.0146189984949619","0.701919155424981","0.298080844575019"
"65","Verrucomicrobia_subdivision_31","Desulfovibrionaceae","0.0165273567672415","0.701239132975606","0.298760867024394"
"66","Verrucomicrobia_subdivision_31","Propionibacteriaceae","0.0165933901728758","0.701215590894528","0.298784409105472"
"67","Verrucomicrobia_subdivision_31","Paludibacteraceae","0.016835365977763","0.701129315469777","0.298870684530223"
"68","Verrucomicrobia_subdivision_31","Sterolibacteriaceae","0.0170810639839281","0.701041702046345","0.298958297953655"
"69","Verrucomicrobia_subdivision_31","Acidobacteriaceae4","0.0171462987973826","0.7010184381322","0.2989815618678"
"70","Verrucomicrobia_subdivision_31","Thiobacillaceae","0.0169825037307317","0.701076848950694","0.298923151049306"
"71","Verrucomicrobia_subdivision_31","Methylococcaceae","0.0167128642483129","0.701172994257368","0.298827005742632"
"72","Roseiarcaceae","Gallionellaceae","0.0419522656203947","0.692115501336159","0.307884498663841"
"73","Roseiarcaceae","Christensenellaceae","0.0305671967672226","0.696215772312283","0.303784227687717"
"74","Roseiarcaceae","Microscillaceae","0.395043241122565","0.549980344593075","0.450019655406925"
"75","Desulfarculaceae","Alicyclobacillaceae","0.192786021926398","0.635300707568314","0.364699292431686"
"76","Holophagaceae","Rhodocyclaceae","0.0580884291765154","0.686262184162687","0.313737815837313"
"77","Bacillaceae","Paenibacillaceae1","0.0313563198773049","0.695932353078478","0.304067646921522"
"78","Bacillaceae","Kineosporiaceae","0.00406074762235625","0.705669629634733","0.294330370365267"
"79","Bacillaceae","Paenibacillaceae2","0.00412987911381618","0.705645137759123","0.294354862240877"
"80","Bacillaceae","Peptococcaceae","0.00443347842346986","0.7055375686583","0.2944624313417"
"81","Bacillaceae","Syntrophobacteraceae","0.00436161055055756","0.705563033842279","0.294436966157721"
"82","Pirellulaceae","Rhodospirillaceae1","0.0390754134003201","0.693153874186562","0.306846125813438"
"83","Desulfovibrionaceae","Opitutaceae","0.00908455183790668","0.703887579149573","0.296112420850427"
"84","Desulfovibrionaceae","Propionibacteriaceae","0.0660927087235686","0.683340065880975","0.316659934119025"
"85","Desulfovibrionaceae","Paludibacteraceae","0.0665833194073508","0.68316055235671","0.31683944764329"
"86","Desulfovibrionaceae","Sterolibacteriaceae","0.0668570197193338","0.683060385427477","0.316939614572523"
"87","Desulfovibrionaceae","Acidobacteriaceae4","0.0666414794538469","0.683139268577848","0.316860731422152"
"88","Desulfovibrionaceae","Thiobacillaceae","0.06615234266687","0.683318248451309","0.316681751548691"
"89","Desulfovibrionaceae","Rhodocyclaceae","0.00362503542545445","0.705823974010003","0.294176025989997"
